1	120.13	93.56	35.23
2	117.07	158.52	88.86
3	176.99	87.77	94.75
4	122.99	115.98	6.26
5	121.43	5.09	66.36
6	60.32	123.96	101.12
7	6.6	96.63	46.62
8	77.34	118.97	83.5
9	11.71	84.6	62.38
10	128.21	119.76	60.69
11	18.47	47.76	74.8
12	7.06	106.81	74.24
13	83.83	24.84	70.12
14	26.74	56.69	32.7
15	5.31	128.21	51.27
16	51.78	112.58	3.48
17	43.68	78.65	61.96
18	152.9	33.09	64.38
19	104.93	110.16	25.21
20	10.1	76.76	8.53
21	82.55	119.73	17.7
22	83.64	142.67	76.93
23	48.3	85.56	74.82
24	110	83.79	82.78
25	10.45	59.13	107.22
26	48.92	35.99	118.75
27	139.37	167.85	103.39
28	42.76	72.07	11.41
29	7.56	69.09	66.92
30	1.45	115.22	106.36
31	162.46	138.62	70.53
32	117.25	58.97	107.11
33	132.56	137.05	85.82
34	135.68	129.89	52.37
35	112.57	65.48	72.9
36	86.05	87.09	112.97
37	109.22	28.42	86.22
38	110.24	83.41	53.48
39	117.52	59.01	47.09
40	67.87	28.6	23.37
41	14.83	101.97	91.06
42	97.13	53.84	0.24
43	151.89	65.72	45.33
44	161.37	53.26	118.59
45	9.14	49.41	53.66
46	60.41	85.48	9.27
47	26.84	56.64	92.6
48	0.3	33.47	114.95
49	21.05	139.54	73.45
50	133.05	125.18	72.33
51	134.68	94.8	0.3
52	20.29	116.19	13.48
53	48.45	10.98	71.34
54	72.72	60.95	17.11
55	0.32	33.46	54.9
56	65.21	63.37	48.81
57	92.95	127.41	36.82
58	119.02	29.83	57.62
59	165.86	121.28	69.42
60	51.88	126.93	101.82
61	0.9	73.56	107.13
62	37.06	170.78	92.43
63	8.31	143.83	94.31
64	108.97	124.52	52.22
65	104.59	83.32	90.59
66	110.24	83.47	113.36
67	143.23	93.07	41.62
68	148.18	118.34	6.47
69	31.92	48.32	15.09
70	4.92	123.07	24.32
71	152.91	88.31	40.13
72	83.17	7.6	68.32
73	62.74	43.56	4.53
74	19.02	142.6	19.61
75	146.82	36.56	10.67
76	122.15	81.01	77.47
77	22.62	45.63	44.11
78	111.86	41.23	75.92
79	147.99	40.39	49.32
80	59.69	93.92	114.71
81	16.79	14.11	76.66
82	41.36	55.08	42.21
83	165.32	40.58	99.95
84	133.08	106.45	108.72
85	12.51	69.19	89.29
86	81.38	81.04	88.87
87	75.79	69.89	107.43
88	89.7	47.9	93.29
89	178.66	87.18	0.53
90	98.2	126.55	38.54
91	172.46	87.76	2.25
92	57.76	170.39	51.12
93	15.45	145.81	41.46
94	77.64	89.43	86.28
95	88.54	92.98	63.36
96	16.32	66.43	12.17
97	11.68	65.75	97.37
98	76.07	109.13	78.83
99	3.97	76.46	80.17
100	114.64	5.62	89.71
